timestamp,price
2013-05-17,117.97
2013-05-18,118.3
2013-05-19,116.49
2013-05-20,118.49
2013-05-21,117.88
2013-05-22,119.35
2013-05-23,121.89
2013-05-24,129.88
2013-05-25,128.5
2013-05-26,129.75
2013-05-27,123.58
2013-05-28,125.52
2013-05-29,130.02
2013-05-30,126.97
2013-05-31,127.24
2013-06-01,128.5
2013-06-02,120.0
2013-06-03,120.53
2013-06-04,120.58
2013-06-05,121.51
2013-06-06,119.47
2013-06-07,111.15
2013-06-08,109.94
2013-06-09,99.94
2013-06-10,103.63
2013-06-11,107.34
2013-06-12,108.42
2013-06-13,107.74
2013-06-14,100.12
2013-06-15,99.42
2013-06-16,100.3
2013-06-17,100.67
2013-06-18,105.69
2013-06-19,105.7
2013-06-20,106.7
2013-06-21,102.0
2013-06-22,100.0
2013-06-23,100.38
2013-06-24,99.47
2013-06-25,99.0
2013-06-26,98.21
2013-06-27,97.33
2013-06-28,89.97
2013-06-29,88.51
2013-06-30,89.0
2013-07-01,85.51
2013-07-02,87.3
2013-07-03,80.96
2013-07-04,79.96
2013-07-05,66.22
2013-07-06,65.65
2013-07-07,68.96
2013-07-08,73.91
2013-07-09,75.06
2013-07-10,79.41
2013-07-11,87.05
2013-07-12,88.45
2013-07-13,89.89
2013-07-14,92.33
2013-07-15,93.95
2013-07-16,91.58
2013-07-17,91.1
2013-07-18,85.01
2013-07-19,85.88
2013-07-20,86.32
2013-07-21,85.12
2013-07-22,85.2
2013-07-23,86.94
2013-07-24,87.92
2013-07-25,90.02
2013-07-26,90.5
2013-07-27,89.03
2013-07-28,91.55
2013-07-29,93.29
2013-07-30,94.14
2013-07-31,99.67
2013-08-01,96.02
2013-08-02,97.87
2013-08-03,95.96
2013-08-04,96.61
2013-08-05,97.93
2013-08-06,97.58
2013-08-07,97.63
2013-08-08,93.85
2013-08-09,92.95
2013-08-10,94.0
2013-08-11,94.0
2013-08-12,93.99
2013-08-13,96.84
2013-08-14,98.55
2013-08-15,98.75
2013-08-16,98.94
2013-08-17,99.02
2013-08-18,99.28
2013-08-19,101.79
2013-08-20,104.57
2013-08-21,111.89
2013-08-22,109.5
2013-08-23,107.12
2013-08-24,109.49
2013-08-25,112.18
2013-08-26,111.0
2013-08-27,118.5
2013-08-28,119.3
2013-08-29,118.25
2013-08-30,123.86
2013-08-31,131.24
2013-09-01,130.78
2013-09-02,130.02
2013-09-03,129.7
2013-09-04,124.47
2013-09-05,124.05
2013-09-06,117.05
2013-09-07,118.78
2013-09-08,118.5
2013-09-09,122.87
2013-09-10,122.26
2013-09-11,123.7
2013-09-12,128.08
2013-09-13,128.08
2013-09-14,124.03
2013-09-15,125.13
2013-09-16,125.8
2013-09-17,127.43
2013-09-18,127.87
2013-09-19,125.4
2013-09-20,123.77
2013-09-21,123.54
2013-09-22,122.95
2013-09-23,123.01
2013-09-24,122.89
2013-09-25,124.37
2013-09-26,124.64
2013-09-27,125.99
2013-09-28,126.67
2013-09-29,127.86
2013-09-30,126.24
2013-10-01,127.19
2013-10-02,110.83
2013-10-03,117.47
2013-10-04,122.32
2013-10-05,121.33
2013-10-06,122.28
2013-10-07,123.52
2013-10-08,124.01
2013-10-09,125.98
2013-10-10,126.39
2013-10-11,127.02
2013-10-12,127.94
2013-10-13,130.94
2013-10-14,135.45
2013-10-15,139.61
2013-10-16,141.23
2013-10-17,143.97
2013-10-18,151.98
2013-10-19,164.93
2013-10-20,165.0
2013-10-21,179.9
2013-10-22,189.3
2013-10-23,203.52
2013-10-24,191.7
2013-10-25,183.88
2013-10-26,181.0
2013-10-27,193.79
2013-10-28,196.99
2013-10-29,201.0
2013-10-30,199.67
2013-10-31,203.74
2013-11-01,203.1
2013-11-02,204.7
2013-11-03,207.75
2013-11-04,226.42
2013-11-05,247.8
2013-11-06,260.48
2013-11-07,283.0
2013-11-08,327.14
2013-11-09,356.05
2013-11-10,299.9
2013-11-11,334.0
2013-11-12,350.98
2013-11-13,391.89
2013-11-14,414.9
